,textID,selected_text
345,b09f14d65a,really out 
346,3160620b36,enjoying 
347,b2e3ebc647,waiting for to leave 
348,1f9644b008,very 
349,1fee7a1358,home tonight the sun s 
350,42d3659c3d,i wanna 
351,8746563ae3,happy 
352,01fb29c047,bored 
353,065e4c2dba,s such a very hard 
354,d0380dbe70,about to go 
355,d0c092c3ee, can i t 
356,ed92ed183a,it s really tired  
357,75d0302de7,yay 
358,96c5092f80,fun 
359,ddbc8dba62, 
360,80b61dc4e6,is 
361,37897b1693,stupid 
362,7a4af13b01,i have nothing to say 
363,000ceaec55, me too 
364,97cd2255be,hi 
365,bebfd966a0,thanks 
366,bebcdc05ad,welcome  
367,e2ea1af68e, hey 
368,25c3c99b1a,a 
369,ee27c73f40,i love 
370,f90a6f5da0,sorry 
371,49e9fe8b96,i want to go but my friend not 
372,b34a3e3d72,on the way 
373,0a96d05fdf, u 
374,ab3f55a84d,i love 
375,0437867c21,tired  
376,80ea9ba96f,had a lovely day with mom 
377,4914c3c579,fun 
378,33bb4fcc72,thank 
379,f0da745521,awesome 
380,351d279fba,oh 
381,b5237966b8,i have 
382,55cec41587,is that time for 
383,2cbc372326,so 
384,8997a62a75,i love very much 
385,bce5834e03,i  
386,a9b9f7a878,awesome days 
387,d72edc0bb2,no and make  
388,2fdd2501d1,have some i it 
389,5fcaa99ec8,just left my first of room in 
390,3dfd82c60f,i m 
391,16f31448e1,so what 
392,bab04dc463,bank holiday  
393,109b636fa5, i thought it was 
394,cc29d748cb, t like 
395,bf4b4c0f0b,i so in a little 
396,64b297c15e,broken 
397,bc1fbaf4a1,good night  
398,f59d8d766f,i know 
399,8a1bf14c15, well i will be a long weekend 
400,acfcaea70b, an of this place 
401,97e53162ff, oh dear 
402,c0b7788e74,so my head early  
403,15c531b290,still the old year 
404,23efa13d7c,happy 
405,c44b286776, or 
406,29ed43caca, lol i have be 2 out a 
407,6693f9c143, we re by i have no yet 
408,94e0c7c638, for in 
409,6114b48cb9, 
410,32463a2751, are u 
411,65ed990460,love 
412,505f50a90d, i think a really thing but 
413,481e268403, i am going to see this weekend 
414,5ce968f9be,nice 
415,52ad93b3fe,oh i 
416,e892068fd3, that for me made u just 
417,226adfd977,fun 
418,47f11efc72,this thing i was  
419,d7b1ac80c4,good just 
420,401cc22f49,is on facebook 
421,583bae2083,i to the get so 
422,f003be5308,feeling made for another  
423,49ce2570e5,i feel in work from to hope this time  
424,0693a85163,its fun 
425,4b273cd32a,you 
426,22003c0e96, 
427,0fe049b7ea,there 
428,3d1184dabd,it 
429,c2392d49e0,one of 
430,a25ccabf06,no for a few or 
431,9b3fcf1668,dead 
432,d7746b6b68,is 
433,86c20cf6ee,i can t 
434,393b22b6c0,getting ready for the s tonight it work  
435,3c03dc0dd0,good 
436,25e2db9995,went to come on a few weeks but i made up home after school now we can  
437,d17a3a37e1,when is you get to 
438,58f1b52257,i want to 
439,32489d483d,missing 
440,00d907ce33,loves 
441,a7f2db128a,ugh 
442,d39e6da95c, if you have some cheese and on 
443,09fea0f3a7,happy 
444,31eb8ebd2a,can t wait to see the music 
445,4dda8fd71a,going to bed that  
446,e4d6a48aa7,says 
447,d0b52412b8,still out 
448,14acfa72dc,you have 
449,c6d6fbb9a6, lol 
450,797f9cddc0, how t 
451,4c5672e236,hope you ll i 
452,d35f126ad0,great 
453,efdff6dde7,got a the way even tho 
454,4dd3339756, just be already back 
455,dd3cd66574, the to 
456,e83b4e9bf0,i m not a good thing 
457,7a27c3a84d,i am a sad in movie is that always but  
458,19de569235,twitter 
459,66f1863628,i want to see  
460,3690fcb40e, love 
461,bad6311330, yep but i m going to go 
462,75499e3bd1,fun 
463,27d6472b81,my phone looks 
464,80995dff29, see by we 
465,ca2d9efd4c, 
466,12bb670169,good morning this a but not 
467,70b4033f03, 
468,8df42cd45a, follow me u guys n 
469,82bc030c0d,bad 
470,9d6473d14d,got a  from old now some for my 
471,146257b271,it was awesome 
472,2fbae49319, in a few hours is the on 
473,b56108fc36, hahaha ur i think u guys guess is ok soon as much to be in the next 
474,ed54440a2e, this is what when i have to 
475,c135b2cef2,i am that  
476,48c3502151,i my 
477,5e6040afd3,if  
478,3ea60172a0,only the to 
479,96e1deb162, i would be that but a to for my friend 
480,819626535b,glad 
481,fec3cae0c2,i want a movie on my way home for is that but it the 
482,89d9167173,so sad 
483,dd911923ea, it 
484,4f8c391159,i ve got you but gotta get again 
485,403847cf44,take that a guy your  
486,dad1d09bfb, no i wonder he ll get 
487,56f5217a16,happy birthday 
488,4a9ef1f9d8,sucks 
489,5a42a51462,my 
490,c5a584d398,1 the sun for a day 2 
491,fee936fdc3, wasn t the just to 
492,2813c4cf7e,you can t 
493,2246ed3d84,loves 
494,1b1243d0b5,off to work up i  
495,09042bf466,much better 
496,40e3087f9c,i for the 
497,ad94e8b662, or yea i know why but just have your not to 
498,fc0b053a31,i can t even 
499,9f2a0b0b2f, you can give them i with other am a good time there 
500,7516f86838, i know people right why though they are 
501,2492330594,excited for now 
502,9aa7d6a58a,i liked 
503,083e4f782b,is for a i now 
504,ba5e02305b, 
505,9f4bb12e13,sick 
506,7a01848c2e,how i m not sure  
507,ae285917c7,hope 
508,5575fdaf3c,watching an at the office getting ready for more into a car to bed my 
509,af3fbd5681,aww i got see to out her last night s a new 
510,db7211afbf, 
511,23602f214f,hey a  
512,c3459bc0bb, will 
513,f02eed05d0,made me 
514,ff7126ea72,slow  
515,567ef8c2ed,cool 
516,d50a4dc3bf,it done any more to read some now all off  
517,d6bd94911e,happy 
518,23bf2d69d2,i 
519,a6623df1a6,i love in with now 
520,34409c9b8a,love 
521,6a36ea6690, if i will you 
522,c5ec3e9e37, i m not 
523,e74d67a818, hey how u doing 
524,b09824d000, well 
525,3af70d3bc2, maybe i did u like 
526,5e5cb6d0a9,haha 
527,0db9bf3e1f, 
528,4de0e1bb73,perfect 
529,9a6736745f, 
530,8d40f9e62d,haha 
531,727e51734b, dont we do a to 
532,db23b82d03, in the 
533,e03a74beca,good 
534,80b171ef7a,don t i 
535,d49d1b7de1,sorry 
536,4809e143db,good 
537,0edb544179,on the  
538,c50f940f43,we don t go to 
539,9a27ba671e, you want to see that if soon 
540,27c4e1f089,i am stuck the office 
541,9965c5a810,not fun 
542,4f6d52cbd8,down 
543,6c0bac4f19,went on the 
544,e692bbaf63,welcome 
545,365974d586,good morning world  
546,32db5fc0a5,is at all time to be the 
547,600c58d8b3, no i been not a have in need 
548,792c269f24, i think u have friends to now 
549,2c6f1f637b,got any more  
550,c6322a85c2, what s up movie 
551,3aa450d12d, 
552,10ad2966fa, that for 
553,96b3a98962,don t worry 
554,b5c13364bb,sorry 
555,06ae0360a2, no i want to one 
556,060db97af7, morning some have to 
557,67d5b57919,happy 
558,a4388148b8, hahaha i m a u for the do 
559,e43b9a1497,happy 
560,527b27665d,i love them  
561,dbe35b6a0d,cool 
562,92c4eadecf,just got out at least 
563,b1cec36547,working on the best day and miss 
564,1b5dea3fe9,been 
565,8d8c915ea5, out 
566,9b46f1ae17,thanks 
567,1c68a5f609,thanks 
568,b9a6b682b2,bad 
569,092c10bd84,wow 
570,84fd3611d6,hard 
571,9b8052833a,people to 
572,f9bdd41842, 
573,13c47e9bc8,awesome 
574,9a1eaacda3,you are never one but my 
575,8645bcae50,sweet 
576,b70c6bf768,my phone isn t work on  
577,f67575d0e9,sad 
578,ba93b78cfc,amazing 
579,77c659aa89,about to the 
580,303a1773cf, 
581,aa8b44f1b2, been for 
582,bf95b25f9d,sorry 
583,b21b048c1d,is 
584,4f7cba2eff, nope are on they did i the 
585,31dbbd2bb4, did out with the was lol just 
586,a7506a67a4, was 
587,b2c81f2c95,being 
588,99c5936498, you didnt the me 
589,7315faa6ce,i m 
590,132462ca21, nope not i have to a it 
591,a7225483b3, please to live a love you so much when we 
592,2dfb1e0fe3,miss 
593,3a013a37a6,on twitter a little 
594,b70639aec0,loves s really out of 
595,0b5a804a3c,i couldn t catch up for a new on so but  
596,78ccd0cec0,thanks 
597,1c464c8953,lost me 
598,29da8ca76b, sorry 
599,9d414d77dd,feeling 
600,4d05d59122, 
601,5a2393940b,i need a hug to go and some of my  
602,2fd9eef1f8, if i could your 
603,938c32de3e,help 
604,0e3d04ed05, i don t like the much be 
605,9a0fce6d7e,how to twitter 
606,32eb024489,bad 
607,6af90a76e4,i love 
608,2b68738448, this one 
609,af087c9deb, 
610,8823244442,i really want to leave me 
611,9bb06e4848, you should live 
612,717e76b467, 
613,3b6fdcc518,going 
614,f6cb27e38e,he will be in here 
615,419f3e9ef8, i know but is on the weekend 
616,f29654c873, thank you for it your 
617,7e46f3f92a, off is for 
618,43ad351369,thanks 
619,853ebd7b47, 
620,ef60a2d1e7, 
621,983088f2b4,lol i look like 
622,50b353f751,nice 
623,c4cad35b0f,the 
624,9c44566550,right now is on the 
625,32b28d840b,it would that if you can 
626,d576839165, its so fun 
627,86f3b2e352,sore is  
628,ef1eb004ff,oh 
629,36bc98037c, 
630,faaf6a6f64, i don t even at to 
631,69789cff46,come out 
632,586a76af3d, girl was a bit you i 
633,dfd9f1800b,sorry 
634,e0090fba83,live the  
635,d9e1b10a4f,s 
636,0e5d9cd378,3 days  
637,1a82a50aa9, i am 
638,57ee48d640,sorry 
639,e0794d1a3e,oh 
640,2baa1924cd,not feelin 
641,c3261537c6,im 
642,4acd2d7380,i m 
643,259ab53f07,i good 
644,c180265483,my 
645,1e7956b538,going to have dinner 
646,c8a9799256, can t believe 
647,9fdac069e1,i night 
648,e27ea173e0, 
649,e468a185dc,oh yes 
650,fe626ba958,my first thing on the 
651,995db37ffd,i love this  
652,a539826f28,stupid 
653,5efc764068,got a few old now 
654,e133dbdc62, but i want a really 
655,e74af209c6,i m still having at work 
656,aca7565010,i 
657,cac874449f,cool 
658,bff45fe27f, i had a great time with my to 
659,60521a571e,bad 
660,3b6a25d97c,ha 
661,bcf13877f7,good morning everyone 
662,c4a8602e0a,love 
663,4e06f98760,hi 
664,62aebe35b6,raining again 
665,0237b6fd87,good morning world 
666,c860b3f840,i hope 
667,cfdb8ea6d8,back to 
668,935a3c2bf5,had a dream for the 
669,c1e33be64e,feels is 
670,000b3211af,happy mother s day to get the 
671,ffa3258a83, are you both to up 
672,10f2498c35,i think 
673,35674461fe,great 
674,4c086d6a58,not feeling 
675,d6a8cee69b,i was 
676,8e4553e921, go s 
677,cbfe82ef26,sick 
678,9fb92f7504,too slow 
679,49ffb6b465, was 
680,ed0ace22bf, don t have u later today 
681,dc346c6f1c,monday 
682,178b3ca782,at work out me  
683,0e83e0955a, haha i have the too for me 
684,6d3596cdb3,too much 
685,696a2abd8a,someone never seen 
686,26d169a9e9,awesome  
687,52fd9f56fb,amazing 
688,2f7b589c41, 
689,1620bd719e,all been more 
690,6e805ea65a, to see what his the is as 
691,08f6036add,still  
692,ce4b5fe266, it s 
693,792c97a352,my 
694,384a8c1c53, 
695,8c08631422,on the phone to get  
696,daed8640af, me 
697,0c79867978,sad 
698,fe588dce16, am 
699,30b5985a07,i dont know why they to get 
700,c3e87ee9c0, yeah when your you up early 
701,5bbfbb31da,getting ready to see 
702,41cf23c2d2,good 
703,e027169ec6,this place 
704,6c843b2f56,i loved 
705,29736d30cc, i m too looking forward to see you in a month 
706,2da7ae1656,awesome 
707,0927b99040, actually 
708,a35cb60975, i want to be in the sun 
709,7e49648b99,tired  
710,b7234b7720,i hope 
711,5bbef6942a,m glad 
712,c9e5ca399a,i miss 
713,d7607b8133,i a lot of 
714,2d5206550f,good a  
715,13632b763a,i think you very well 
716,f841b0e812,getting excited out for 
717,09e0880c54,hurts 
718,bf2419a824,playing at least and  
719,2fac1b845b, do you mean 
720,15fb68bf9f,bad 
721,a93afddcdf,that it does 
722,8ec2997024,cool 
723,6559ad2e3e,wish you were here 
724,a2867122b8,this morning 
725,17deedd7a4,i love this 
726,d27429521a, 
727,273aa26c3d,good 
728,c12a98d8f3,i can t be working  
729,0a60d11178, 
730,58b7571313, 
731,a25f8983ff,oh i 
732,9b172f1737, 
733,c016333e85,no my will 
734,63ec4e7de6, you could go on twitter me 
735,7796395821, sucks 
736,4f2e517832,off the way home ready now gone to be later  
737,b3b338bcd0, 
738,add95c3198,sooo me tell 
739,c41d259d60, lol for the new it i really 
740,3099b7261b,looking for people 
741,15892f296d,you would not with that your my  
742,d12acf4e01, 
743,dad3160e52,is 
744,598603422e,only 
745,c3c79502f9, why been so sad i have to you 
746,02b43cd23c,happy mothers day  
747,058f39acca,i want an for  
748,90af5c843a,hate 
749,200f2b3566, have you work right about it get the t 
750,85f882c027, yeah i can t new my now a 
751,5496094dac,feeling bad for 
752,866582d5a3,summer  
753,cb20977501,good 
754,ddfc2cc8b3,on a little the will be to  
755,0de656eac1,up 
756,6be59d11d8,so much more 
757,31d260e718, 
758,b22aff92be, that s something right about now my 
759,96cc75e508,is just getting by any in of  
760,664d148574, me to the would but not 
761,6872aea3a9, is home 
762,21d77a32fb,best 
763,5d8cc77f93,lost 
764,803e9c0931,another from 
765,16ca8a5ecc,the 
766,038c049e2a, what s wrong 
767,28e1999323,awesome 
768,438a7d203a, 
769,0117a03b6d, really 
770,cad99e531f,i wish could get 
771,4987bf323b,it 
772,ba3e84e67f, too what you have been up 
773,b2dc59805a,out to get 
774,797aa81fda,sick 
775,0ea64bcbe6,yay  
776,4e7fb463e0,thx 
777,b33c27ad85,thanks 
778,50eb2a08c3,going to out for i that are  
779,0ee55890a7, 
780,eb9c11eb52,sucks 
781,cf16d0c659, hahaha yeah i was up to he t be my 
782,f7aa65a988,is over 
783,b8a3fea60e,bad 
784,5389177883, see i everyone again 
785,e59fd12277, or the for 
786,264f1af9a0, really in my now too 
787,d19724f22f,i want 
788,9d4dfb1f9e,is  
789,e6b380cd3d,i m 
790,993c6eadd2,s really that 
791,7993d38b85, 
792,42caab438e,nice 
793,b5e7df1efe,sad 
794,017a0bbb36,friday but at 
795,12cfea907c,misses already  
796,43449f0068,thanks 
797,795556dc39,awesome  
798,38e8111514,awww 
799,18ee9d146c,so at my with  
800,f5e9c0eef2,i ll be 
801,434e673353,got home for the way on it a 
802,8b8932427d,oh check 
803,c5f383c0a0,i feel so more no  
804,103459e206,cute 
805,8def10379e, 
806,74af7e0835,i 
807,bb53ba1a89,i can t believe 
808,11c5c7850b,cute 
809,455ef3e9b6,lol 
810,d761530c7f,is  until 
811,ed1e06027c, well there go away 
812,47b4e91e39,the time night 
813,0b39781a5a,good 
814,8fbd0b19e6,will be 
815,8429087609,good 
816,7900f25fbc,i m the best 
817,312868ebb2,you go to  
818,5f2c04acd4,little a 
819,55b8e44c02,my 
820,106aa6d022,not good 
821,4975dbda48,i wasn t 
822,a3145ba47e, well when you get to i 
823,7e19629684,at the office of looking 
824,3495e809b3,sore 
825,a1b67a24aa,we are working 
826,a0b1828b67, this weekend maybe we re night my before 
827,311985067b,gotta 
828,c392253b42,no way to in have it 
829,62f3e63c1a,i m 
830,2942ed51f6,much too as a 
831,03798acf38,beautiful 
832,fd1ebb37c3, can t you 
833,478a005e7c,welcome 
834,9608ece440,i up and they should to after the 
835,e6b24b7014, your 
836,105b761a2c, dont even know when now 
837,cca7cce9c8, aw about to watch if i 
838,d0b2e14355,special 
839,f27f60c847,nothing 
840,5380d2b0e5,back to work 
841,38148a3e98,going to then tonight 
842,b29ea1892f, make a lot 
843,7dd51bdec1,another 
844,409767144d,what 
845,c627db4613,getting ready for my this week 
846,9fc2217d38,amazing 
847,d14b33ede0,a good day 
848,e7ed611f06, aww 
849,a61d4c6048, 
850,74b427ffa8,im out for twitter i 
851,c7568067cd,my 
852,8a6cdf6832,watching 
853,f4d1a681af,interesting day 
854,f81d71d2c2,in 4 hours what a 
855,029a603b00,love 
856,e6826a5aa5,so missing 
857,1e41208494, night 
858,23f4fd4385,did 
859,aa17c6f797,good 
860,136b1926c9,cool that 
861,6f381bb00f,come on my live  
862,c0d5be8bd4, but is the no lol 
863,e09b90939a, 
864,ec835dc0b0,hey 
865,eaf90c4253, im right now and some work for my it to 
866,41a96b7954, me 
867,e5a26fb323,its not 
868,4e5d66beb2,i love 
869,4c5a7e6ffc, i was a with there 
870,53714350ac, that was going to i and 
871,b4401d6b4d, okay and your dear lol you are 
872,05ff657624,you re welcome  
873,dd72ee1430, time so will to i hope 
874,094e0509ad,sorry 
875,0182dd7de1,that 
876,5b70f8bc73,i if feel some not as today a up 
877,8c280d0f80, 
878,98c02118e6,hope 
879,f4f24160c3, 
880,80420cfe74,oh no 
881,5f1811bb3d,good morning 
882,c7d3ab998a, yea 
883,7abd932d50,thanks 
884,ed298c6e5d,nice 
885,3257bafde1,it s  
886,2c150a0703,what a beautiful day to see my first 
887,2252c58ab0, 
888,7d933d9d21,s 
889,f6400f56e9,that sucks  
890,4477b985e5, yes it does 
891,66019ddc8f,thanks for 
892,a7cf141043,it s a bit 
893,4b2b16581a,sorry 
894,e1a3e4575d,you re have in to 
895,719934e5e0,i m 
896,dcba201932,u 
897,a55208f877,love 
898,c13f8a6154,happy 
899,e0eeef2f3f,playing with and coffee 
900,003816f151,that awesome 
901,69c36e5f81, 
