,textID,selected_text,text,sentiment
46,67afe60d31,i hope my first for new a few  neutral ,i miss my old phone it worked so good until i dropped it i want a new one for my birthday ,difficulttweet
47,17d18ba9ef,wonderful positive ,thinks sg is wonderful,difficulttweet
48,ab57d75f20,really negative , im really sorry i know wallah how u feel this life is shittttttttt,difficulttweet
49,f0acd25d8e,happy positive ,not happy,difficulttweet
50,cf3b068b03,is watching miss and negative ,is watching acoustic performances in the mood for a good friends episode i miss that show,difficulttweet
51,d6c34fa875, i ll , i ll oscillate from one to the other ,difficulttweet
52,614aed9113,i m so tired  negative ,i m so very tired and have insomnia ,difficulttweet
53,dfa577d3c1,thanks positive , thanks ennio,difficulttweet
54,10dcbe4dfb,he you should add me to get with and i on  neutral , you should totally come get me and bring me to kelslaws house with you ,difficulttweet
55,a0bfb12773,you re nice and know your w neutral , you seem nice you re generous and you know your stuff,difficulttweet
56,71f4a9b495,poor negative , u so dirrrrrty why oh why did i pick the hawks i figured i needed a longshot and they were a better bet than car,difficulttweet
57,d33ed264b3,went negative ,almost got a kitty yesterday but it didn t work out,difficulttweet
58,77f88ea9e2,going to bed night party gonna have  neutral ,reality needs to check in schools over time to party not tonight tho im going to bed night night ,difficulttweet
59,fe1deac869, was a from neutral , caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan ,difficulttweet
60,e591a725ef, dont do know what though neutral , i still dont know what we would do though,difficulttweet
61,2dbb28cc29, hey its following you are so not it neutral , xo dang it so its not certain are you okay ,difficulttweet
62,a7e4ad250a,i am sitting negative ,change of plans i am staying in brandon no papaya salad for me ,difficulttweet
63,7d87899024,yay positive ,dear rain you suck now i gotta change my plans for tonight,difficulttweet
64,461b51fa58,love positive ,at starbucks with my love eff school i have work later too ,difficulttweet
65,c31d79c440,just ,i just cried whilst watching hollyoaks i need a life lol,difficulttweet
66,32ee7ef6c2,hope positive ,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shops life cant get much better surely,difficulttweet
67,29f805a7d2,by for  neutral ,terminator salvation by myself ,difficulttweet
68,d41fe360e4, for the u to neutral , for the loss dumbface him not u what u up to on the wknd i wanna seeeeeee ya ,difficulttweet
69,a04c8c8695, do you have to my i time neutral , why do i have to enter my registration details every time i update ,difficulttweet
70,25e42b2bf2,i love positive ,on the monday so i wont be able to be with you i love you,difficulttweet
71,5843d17b1d, ahh aw i m fan a positive , ur so cute i m a fan of dream a little dream this kiss and appearances like in dawson s creek make more flicks ,difficulttweet
72,474d10ff48,advice is sooo much i always my last something  neutral , tgif is right i think i broke my toe last night on my bad foot ,difficulttweet
73,38e69da3a1, positive , oherr it s soon then do you have plans i had a party on saturday x,difficulttweet
74,972dc5787d, very , lamont yr very young looking dude,difficulttweet
75,0ba6aaf9aa, haha my tweet neutral , hmmm wrong link ignore my tweet,difficulttweet
76,7a81537034,i t ,at t cheated the system and now i have no green day tickets you at t ,difficulttweet
77,311d2b185b,right and my the  ,tracy and berwick breaks my achy breaky heart they split ways in the hallways ,difficulttweet
78,1e46d72ec6, yep they wish were my big boy neutral , yep i wish they were all playing dubiln,difficulttweet
79,390f169584, im a , im a lady and ladies don t move couches they direct where the couches go,difficulttweet
80,58129e4130,thanks for re  positive , yay for block party you re the bomb blockheads 3 dave thanks for supporting nkotb ,difficulttweet
81,e6c9e5e3ab, nope , 26th february,difficulttweet
82,cb5e709de8,has three ,guess what mom adopted a kitty today 11 months his name is corky,difficulttweet
83,a14b4ff440,best positive ,happy birthday snickers i hope you have the best day ever let s go shopping ,difficulttweet
84,5d57a5eda2,thank you positive , thank you i m working on s,difficulttweet
85,1e3561e921, lol , lol man i got 2 1 2 hrs an iont how i woulda made it wit out my ramen noodles and t v time,difficulttweet
86,c2ea5cb58b,not feeling well negative ,not feeling all that well today,difficulttweet
87,cde0016d6d,my , my ear hurts and this is my medicine gum,difficulttweet
88,5fc411e8d1, lmao know i neutral , berland lmao i know i know,difficulttweet
89,5ffb19ae8f,lame  neutral ,gnight shar ,difficulttweet
90,76da985a47,the my is in ,the underwire in my bra is sticking out and poking me in the armpit,difficulttweet
91,3a98aa4762,happy positive ,happy mothers day ,difficulttweet
92,886545bbab,i am neutral ,yes i am,difficulttweet
93,2afe118dc3, i can t call from neutral , i can t call mitch im from sweden ,difficulttweet
94,704c53f4cf,happy positive ,happy star wars day may the fourth be with you,difficulttweet
95,71fa60d9ff,so excited ,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,difficulttweet
96,c238c4dbb7,i just watched so hard to go  negative ,i just watched marley me i cried so hard ,difficulttweet
97,dc73e85417,fantastic  positive ,take antibacterial to school to clean your hands when you cant go the loos,difficulttweet
98,af63915fa9,i am m now off to work  neutral ,i m leaving work now trying to decide if i return on sunday afternoon or monday 4 am to meet a noon uk time deadline ,difficulttweet
99,eb2fc4d281, took , haaaw well i get out of class at 10 50 i hope i make it,difficulttweet
100,f9382a1f7b,stupid negative ,oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain vent,difficulttweet
101,54670ca807,but work and with my eyes tho neutral ,skype call with billie but my webcam dont work,difficulttweet
102,3ab338c459,great couple into the way a time to get of photo back neutral ,just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,difficulttweet
103,c7c7f7f025,die negative ,fml not having a car is prohibiting finding a job,difficulttweet
104,1256e6a4d2, actually up , lol since i got twitter a little while ago it seems like loads of people setting up an account,difficulttweet
105,990cdeae87, i want to see tonight neutral , i want to see david cook ,difficulttweet
106,9a55d83c79, me , yeh me 2,difficulttweet
107,c8307a482d, games says the hell to go negative , learning tat the scenic way din plan to go town but somehow was herded there ,difficulttweet
108,0a21b662a4,i don t want to do you see lol  neutral , i don t want to do anything specific i just want to see you and puppy ,difficulttweet
109,297f7d9e0f,miss negative , yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,difficulttweet
110,68901906a4,worse negative ,toy story 3 trailer premiered with up i need my computer back ,difficulttweet
111,3112944847,phone on the with  neutral ,ughh on the phone with hp ,difficulttweet
112,8f8334ffa2,sucks negative ,and hand made by dan jenn sock blockers made from exotic woods one of which is called purple heart ,difficulttweet
113,322546026e,yay  positive , yay about breaking 200 ,difficulttweet
114,e6c154f9be,sadly negative , bahah sadly i am not,difficulttweet
115,e96d849b35, i always have a for my too neutral , i always have those for my champions league parties tis awesome,difficulttweet
116,124e30d941,happy positive , well not all just stay away from those kinds and surround yourself with those who don t happy mother s day to ur mom treiz ,difficulttweet
117,fbb5742bbb, they already three till it t wait until in neutral , adel they didn t reply yet wait till they confirm in case somebody might have translated it already ,difficulttweet
118,e90acf3c42,enjoy positive , thats rough hubby had knee surgery but it did help him in the end let us know the results we ll keep him in our prayers,difficulttweet
119,0b0944285d,back to bed ,might have to go back much earlier than expected bye bye bay area,difficulttweet
120,a11da2d3bf,leaving positive ,playin city of villains wishin my buddies were playin with me ,difficulttweet
121,161bfc7c8a,good positive , yep three things a good haircut the ability to listen and the value of not taking yourself too seriously,difficulttweet
122,4a65010643, yep my twitter neutral , riley hacked my twitter hahaha ,difficulttweet
123,1b460c82f0,this doesn t work to just it on  neutral ,big sad face bing doesn t work on iphone it just takes you to the regular mobile live search ,difficulttweet
124,43e91a5488, i , i liked it did you record it yourself if so you have a very soothing voice ,difficulttweet
125,410dd99aa3,bad negative ,man im so sad school is ending but then again high school might be better o,difficulttweet
126,b3eadfc565,e thought positive , folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight laughter all night ,difficulttweet
127,480894125b, you re best positive , you re the absoute best,difficulttweet
128,001617fca4,i just ,oh my god i cried so much watch this guys from bgt ,difficulttweet
129,52f2f23473,my ipod is to  neutral ,my near daily exercise is starting to show results ,difficulttweet
130,e7e27b0c91,welcome  positive , welcome ,difficulttweet
131,834dc73c0c,one of my ,bout to hit pmark then make one of my final meals wit the housemates ,difficulttweet
132,aeb0e9d730, go to and work neutral , you get to go home and i have to go to work,difficulttweet
133,c672c9da1d,at for on neutral ,voted for on cmt com,difficulttweet
134,cbee1946d3,just got home from a not neutral ,just got home from a nice party just not tired yet,difficulttweet
135,b1999f0951,now i have a neutral ,now i have a sunburn,difficulttweet
136,25510fbf89,i have a nice and it be more this is neutral ,i have the job this is a nice day it can not be better,difficulttweet
137,bcb9426abb,i wish could go to this weekend  neutral ,i wish i could go to bea this weekend ,difficulttweet
138,0d29624200,im so afraid negative ,i 3 rupert grint of the boy ive accepted tht i do fancy him but im certain he doesnt feel the same so its not worth telling him,difficulttweet
139,3f0f5891ab,love positive , love your books,difficulttweet
140,0b34e66ea3,so upset negative ,ok so this eye doctor guy is taking forever and i m sitting in a cold room by myself what a jerk ,difficulttweet
141,11de8c0456,lost on my phone neutral ,im slowing on my tweets cuase i lost my phone,difficulttweet
142,d5712716e9, well thank you for your phone neutral , well thank your phone for me ,difficulttweet
143,3f90f95beb, positive , why would they take a photo with stuffed animals that s pretty funny,difficulttweet
144,c108e09b19,disappointed negative ,tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,difficulttweet
145,7223fdccc2,so only negative ,tikcets are only ï¿½91 each but i so want to go,difficulttweet
146,f254748cdb,happy positive , happy mothers day,difficulttweet
147,256453d14f,it s awesome  positive , it s gonna be hot here today too today is ryan s last day of pre k i can t believe it i ve been a sahm since i had him ,difficulttweet
148,8fd01857a9,is  negative ,is dreaming of the weekend awake ,difficulttweet
149,37227c0dbf,oh that negative ,oh me i ve just returned from the supermarket of doom to find that i have nothing to drink here ,difficulttweet
150,20aff2fcb1,yay  , yay but you missed naptime,difficulttweet
151,ca223af36e,fantastic  positive ,d group saturday s with a little bit of football an hour nap 3 hours of soccer basketball in the tsu and yogurtland life s good,difficulttweet
152,90977e9614,i just up new  ,just set up a new computer again 15min i love norton ghost ,difficulttweet
153,433b1ab9ea,so my new got for ,ahhh my mommie got me new sheets for my bed so comfy,difficulttweet
154,37771d1bc1, sleep finally in neutral , celeste finally some sleep in silence,difficulttweet
155,fa99046452,im ,im just up and its 12 43 o im so lazy thank god its a bank holiday,difficulttweet
156,14760477ad,is really tired  negative ,is pretty dang tired but chambers class is for napping ,difficulttweet
157,da908a6635,is negative ,i have to poop is hogging the shitter,difficulttweet
158,2053a455e9,omg lol is now more than my guitar would have i to neutral ,yes im down to 50 full on my dvr i was at 98 like 3 days ago lol i swear if i didnt have a dvr i would never watch tv,difficulttweet
159,1ea547383b,happy positive ,happy muthath s day to all moms i salute you ,difficulttweet
160,6634c62acf,hahaha  positive ,hahaha alright ,difficulttweet
161,c7240790da,good positive , aren t you suppossed to support the local economy lol good for you and congrats,difficulttweet
162,08ede23635,thanks to good positive , good to know thanks,difficulttweet
163,4e87dcff0e, what are you day of the neutral , what are you flavor of the day ,difficulttweet
164,4b0b53bc98,ugh negative ,weathers let me down this morning ugh hada gd nite tho ,difficulttweet
165,fd3a622954,just got an idiot to on neutral ,just listened to condre scr and got an invitation to watch their live concert on june 20th in munich postrock,difficulttweet
166,e34af4fd97, lol yes happy both , e l o wow brings back so many happy memories love this band and yes i know i m showing my age but i don t care,difficulttweet
167,0e8aa10a4e,very nice  positive , that s a very cute picture but you don t get fat from licking bbqs he must have found some chops on someone else s ,difficulttweet
168,29148dc95c,love positive , oh i love sunday mornings like this mum just made scrambled eggs on toast,difficulttweet
169,56a15cf6ca,hate negative ,hate working when its sunny boohoo,difficulttweet
170,b99969c2fb,is online  neutral ,is online ,difficulttweet
171,b0f3142cb4,here to live in come  neutral ,bundy in 3 days warm weather here i come ,difficulttweet
172,5ff525b74b, if they make any an negative ,wondering if i cld make things any worse than they already are answer just did ,difficulttweet
173,4fd80e66e0,says a ,a dutch marketing agency is asking job applicants to apply in 140 characters or less ,difficulttweet
174,e77a8f8f2d,has all  fun ,twitter has spoiled all the fun frustratingly slow couldnt even bid properly ,difficulttweet
175,4ea7102112, haha neutral , chick haha i completely agree,difficulttweet
176,6a14956779,if don t have can  neutral ,if we don t pack she can t leave right ,difficulttweet
177,7c2fcb712e, lol where u to neutral , lol where u headed to ,difficulttweet
178,cdd172d6a7,going to see with family a lot new and she girl about the kids night else neutral ,going to bed after a great night with a friend glad to know she has the same feelings about classes as someone else,difficulttweet
179,d2a21b3cb7, re , many mine included ahem shld have known better back then wldn t have missed so many opportunities haha,difficulttweet
180,799e17e7a7,the up to office it s still well neutral ,it s nice to leave the office when the sun is still up,difficulttweet
181,0a49cdbdf6,miss negative ,i will miss the soccer moms,difficulttweet
182,4a13c1093d, after the sun are always me and a no very neutral , between the garlic pills the spider bite between your toe lol classic and you always being hungry u are killing me 2 funny,difficulttweet
183,9407ce6ccc, start my and get up neutral , sighs ah well maybe my second email will clear it up and get him approved ,difficulttweet
184,820f19ca44, dont all your tweets what the have link about to work neutral , missed all your tweets again joe that time difference uk dont 4get about your fave supporters in the uk ,difficulttweet
185,683bb73c09, it , that came to my mind so i said it and it has now been adapted into my family s vocabulary,difficulttweet
186,0d14593b11,looking forward to ,looking forward to body works today,difficulttweet
187,9ac13b3739,screwed man is that up ,just watched yes man bahaha that movie is messed up,difficulttweet
188,16ee71e6df, negative , sadly i think i know exactly were you put it in the expired drawer those things have a life span of less than two years,difficulttweet
189,f5d47f04f5, too much of the , too much no not unless one of the pillows ends up suffocating the one sleeping next to you ,difficulttweet
190,e131c496a2,much better positive ,meeting my best friend first thing in the morning to the gym omg i am still so shocked i hope you will get better soon,difficulttweet
191,bc6d7b4364,wow  ,wow that was fast next up soderling or ferrer gilles simon lost,difficulttweet
192,c87be630b5, same is , yup theory is great but the reality is beyond imagination i also made the same planning not knowing vs will fail on me,difficulttweet
193,e4ad1684bb, glad to , glad to know that the ad display problem was due to a firewall config at yr office phew ,difficulttweet
194,f7835156a5, woot neutral , woot ,difficulttweet
195,03bb148b87,wish positive , i don t like monday i wish it were sunday cause that s my fun day that was my freaking jam when i was little i miss it ,difficulttweet
196,b47c430fda, neutral , ,difficulttweet
197,0234e16010,happy positive ,waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay ,difficulttweet
198,be9ed19513,happy positive ,happy starwarsday may the 4th be with you from everyone paintball,difficulttweet
199,bf7240df91,head to negative ,must head back to the office,difficulttweet
200,2f883c6eb1,says is awake  neutral ,st joe is dirty ,difficulttweet
201,a1320a5050, at , camping at black butte lake,difficulttweet
202,d72a60bee8, do you to new me neutral , are you getting my messages or do you have to add me to recieve them soz i m new to this,difficulttweet
203,bc9ebe0002,hate my life negative ,i hate my life,difficulttweet
204,64ddc1f8a2,hate negative ,sick to my stomach and i have a headache i wish someone could come rub my temples ,difficulttweet
205,03f6b8d900,miss negative , natalya you gotta tell me whats going on i d call you but i lost all my phone numbers when i broke my blackberry,difficulttweet
206,2d475b1b23,no negative ,just thought about how unfair 3 ppl have been 2 me n got depressed again haters ,difficulttweet
207,87473f5175,crying negative ,crying real tears,difficulttweet
208,7a09871d21, been a while for neutral , brown been holding onto this one for a while ,difficulttweet
209,96ec2855e4,wish positive , panchito s burfday party tonight wish you were here kiddo ,difficulttweet
210,45cf9ba329,now from my ,back from town and my mac crashed on me but it s better now,difficulttweet
211,bab68144cd,what were you thinking  neutral ,archie andrews what were you thinking veronica ,difficulttweet
212,fc49e426f5,best positive ,the best things in life are free x,difficulttweet
213,a172818c9e,my mother died was happy s day  positive ,misses my mom today she was my best friend and even though she has been gone several yrs i still miss her dearly happy mother s day,difficulttweet
214,036191bb61,i love never positive ,i am watching blood on veoh episode 19 love the music wishing i could watch the live action but not old enough,difficulttweet
215,3ef85c201c,that is negative , that is a bummer,difficulttweet
216,ea348ea738, is what the said of we you see do neutral , he is the truth but what about maxwell you can t forget the future father of my children ,difficulttweet
217,fd10f463c9, the , the racoons ate our bread ,difficulttweet
218,e6e02e1be6,thank you ,be sure to let the moms you know how fabulous you think they are almost mother s day ,difficulttweet
219,8112c62d00, m in glad i re too he you ll just july neutral , in a story glad i m not the only one he s our baby and i m terrified he ll think we re never coming back ,difficulttweet
220,0f89951346,stupid negative ,no launch today teacher changed plans and we watched a stupid move about tesla,difficulttweet
221,f3ec0395b0, it s very true i just have time to neutral , it s very pleasant i sooo rarely just have time to kill ,difficulttweet
222,37ffa83550, you know ve see neutral , thank you ooh i see you ve read desert islands great book ,difficulttweet
223,cb8c730261, lol good a neutral , o lol but tiz a good song,difficulttweet
224,be33b5cb9a,working on the side will t miss happy try there positive ,again working on the internet shop don t think we will achieve the goal of uploading by the previously set time will keep going,difficulttweet
225,4fed31099f, i was m sure it his so far him for yet a neutral , anix i bought cheesecake ice cream last week thinking it was good and it sucked so much i m taking yours ,difficulttweet
226,de288eb45b, what the awake neutral , what causes the frustration buddy ,difficulttweet
227,7ab82d9fda,thank positive , wright thank you return of the mack is the jam ,difficulttweet
228,9d8a45d308,getting ready for this weekend  neutral ,ready for this saddenning depressing dullful upsetting dreadful weekend ,difficulttweet
229,d25c4179f6,sorry negative ,sorry for my lack of tweets ive been buzy new vid this saturday ,difficulttweet
230,6cd35dd82e, i have a nice of few on soon but going to be everything and should neutral , i do my humble best going on a works paintball day soon so that should fuel a few strips no doubt,difficulttweet
231,65275b51e2,going to take any  neutral ,going to bed cant take thiss any longeerr maan u ,difficulttweet
232,9fae9e3145, see you ll not neutral , morden be at richard s if not then i ll see you when you we get back good luck ,difficulttweet
233,e515132ae4,i positive , thanks i really do appreciate that i know it will be the hardest thing i have ever done,difficulttweet
234,df3c7485ae,the last ,spent the last hour signing yearbooks i ll miss you guys ,difficulttweet
235,bd8ba2ad7e,i love positive ,and i just love every little thing about you ,difficulttweet
236,58be40735c,helping again thing negative ,my mobile has stopped recieving text messages again stoooopid thing,difficulttweet
237,b5a0a16fd7, let me do it when neutral , hi simon let me know when it s done,difficulttweet
238,044f146e5c,amazing positive ,had an amazing night with my favorite lady friend,difficulttweet
239,a8e17db0cc,poor little girl , oyler poor little woman with her smushed in head,difficulttweet
240,abda0ac082,is clean to for my day neutral ,is fixin to clean the house for my mom for mother s day,difficulttweet
241,b01506af48,why can t even listen negative ,why do you think people say save the drama fo yo mama i m sure even yo mama wouldn t wanna listen to ur drama ode to mother s day ,difficulttweet
242,53969f2468,hate that , hey that s my school i hate that place ,difficulttweet
243,4df63939ef, i did got , i did i only got 3 stars on the pre wash then failed the rince,difficulttweet
244,f43efa3560,soo pretty positive ,my sister in law just left for her prom she looked soo pretty tears all around,difficulttweet
245,c89e41fc7c, me too neutral , follow me too,difficulttweet
246,b9ec075666, on and s ,bought three books yipee now who s with me on that read ten books during the summer thing ,difficulttweet
247,ca333e378d,i m really my job someone get his it to at this lol like neutral ,i m really bored my brother went to get his permit stay off the roads jk lol it feels like all my friends have abandoned me except 1,difficulttweet
248,5a91b175f6,goodnight positive , goodnight,difficulttweet
249,ac00adda49, the it is negative , the moon hiya hun it s just not my day dentist appointment ouch notebook being a feeling sick how s you ,difficulttweet
250,cf9dc7479a, but i dont do you it would me neutral , but i do emily ahahha you scare me so it would work,difficulttweet
251,005e2e60d3,now need to my dress neutral ,now i need to change my monitor,difficulttweet
252,0b1fad03e9, i know m too much negative , i know dude i m doing re runs making jenny watch them now too so we can have conversations lol haven t been online much,difficulttweet
253,2c72a5582a,what happened you negative ,what about me i vote every day for you ,difficulttweet
254,af0778ed50,not the negative ,should not have waled past the quad i want to be outside having fun ,difficulttweet
255,1e0416ec46,just home from and a for neutral ,just rocked home from maccas and now signing a petition for big bang to tour aus lol,difficulttweet
256,1e6f72ea44,i so tired negative ,i think the food i ate made me sick i no feel so good,difficulttweet
257,cc930f7aa8, hang sweet , eagerly anticipating twitpics,difficulttweet
258,9c202174a3,lots of ,lots of tasks to complete today first wecloming new members to canadamigos social networking site and coffee,difficulttweet
259,b9a1df7a8a,has just to go work and no for neutral ,just wants to stay in bed all day but has to go to work instead sux,difficulttweet
260,7b3132d3cc,trying to figure out there this thing negative ,chillen trying to figure this thing out gettin drunk,difficulttweet
261,5f80970983,yay positive ,yay doctors now interview then back 2 the doctor s for blood work,difficulttweet
262,f008d91039,y at the first of my birthday that to me see it back canada i  neutral ,filming at a carnival for my music video it reminds me of the cherry festival that i used to go to back home ahhh memories ,difficulttweet
263,c223721eed,i feel good positive ,i m siiiiiickkk i dun feel good ,difficulttweet
264,7f8a3308f8, ooh just got my off in and been here have me neutral , propellerheads has been on my harddrive for a long while just got my music repo back in shape this we and felt nostalgic,difficulttweet
265,3f7adda0a4,enjoying in sunny but i m tired school some more no class to neutral ,glorious sunny day in london town i m in drama school fighting people with swords while protecting my romantically structured face,difficulttweet
266,6c60cf0bb2,sorry negative , 89 i feel so sorry for her hope she dnt cry 2nd time,difficulttweet
267,f77651be05,he would u the keeps neutral ,would wish the severe migrains would stop doc s prescriptions arent working,difficulttweet
268,aff740a028,lovely exam my b and gonna two of friend the days away wish you had years  neutral ,09 09 full moon my lovely friends and family my b day wish came true 3 in addition gray matters is one of the cutest movies ever ,difficulttweet
269,c3f1116734,suck negative ,my life would suck without you kelly clarkson,difficulttweet
270,4b57011c85,exams for neutral ,revising for exams,difficulttweet
271,cb4266c560, you should at the only 6 minutes me i really been next neutral , you should so host the next logies i only laughed at your bit really,difficulttweet
272,dcb3bb2912, y i m sorry don t know how the other on it to u and neutral , hi jordan i m gonna all of u i know ur busy and i know ur probably tired but please reschedule nc don t leave us out ,difficulttweet
273,f61b40624e, negative i feel like now neutral , joy i feel like red lea now,difficulttweet
274,b6d2229b03,love positive , i d love to but i think the trek from london would be a bit too much,difficulttweet
275,299fda8c5b, hey neutral , hey hey,difficulttweet
276,fbea09d42d,so positive ,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had oucccccccch,difficulttweet
277,1b62e0c672,i negative ,is miserable i feel like im gona cry sux ,difficulttweet
278,2452a0aa6a, i know but as than us like them well are always the same neutral , i know they are delicious miss germany but like holland as well as we used to shoppin there at weekends lol,difficulttweet
279,8a821c6d63,y seriously lol what bad for that i couldn t get the it  neutral , lol very true maybe next year i loooved that siggy and i don t remember what the password for the mod thing was cake ,difficulttweet
280,0f93ebfb23, lol watching some again neutral , lol get watching it again hehe,difficulttweet
281,dd655c5aee,hope you sound great  positive , hope you did great you certainly spent enough time studying ,difficulttweet
282,e94ceb6edd, 3 n neutral , btw downloaded iphone 3 0 sdk,difficulttweet
283,61e8b484df,not as what i be going a for my neutral ,straighening my hair and its not going as straight as i want it to be what a bummerrr for me,difficulttweet
284,5be41389ce,sad negative , i need botox work on the lips if i m going to change my name to angelina jolie but it s a thought sad though about the racism,difficulttweet
285,bd0f0ebc57, me for no i now neutral , me a doctor laughs oh no no no i was crane s patient at arkham aslyum but now i work for him,difficulttweet
286,772ba56ce6,off to have a day leave work positive ,morning all have a great day off to school i go,difficulttweet
287,390f00c85a,now negative ,now in a weird mood muahaz,difficulttweet
288,4a680661d5, congrats , congrats photo of dre ,difficulttweet
289,e2505e6219,thanks positive , sanctuarysunday thanks for joining on sanctuarysunday follow more sanctuary people to keep up to date on the tweets ,difficulttweet
290,0d85e6d515, someone with the and a bit neutral ,done at disneyland kid s knocked out stopped by the hotel bar and grabbed a grey goose tonic on the way up peace,difficulttweet
291,086671fad9, lol hope they you too miss your know neutral , ok lol i miss you too i hope your cramps get better i know how painful they can be ,difficulttweet
292,9c99cd9396,good positive , oh and a very good review,difficulttweet
293,f35cc8bb35, com twitter other that it wont make any work do neutral , mileycyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up ,difficulttweet
294,5ba64af2fd,i m hungry in my house like and left on the  neutral ,i m extremely hungry and the only thing i have in my house is soup i don t like soup pouts ,difficulttweet
295,dbd82ea5bd, its , its hilarious,difficulttweet
296,8b6c53f38b,love positive , i love the guy that was standing behind me,difficulttweet
297,e8cb7f18bd,happy positive ,bout to hit the sack got to do tomorrow happy mothers day mom ,difficulttweet
